id,lat,lon
245712466,23.2444578,77.4357678
315000628,23.2283137,77.4385118
315000629,23.2288859,77.4384953
315000630,23.2299192,77.4386670
315000631,23.2306448,77.4388987
315000632,23.2314306,77.4394032
315000633,23.2321118,77.4399802
315000634,23.2326166,77.4405638
315000635,23.2329636,77.4411646
315000636,23.2333384,77.4419330
315000637,23.2335159,77.4425981
315093811,23.2335645,77.4416977
315093812,23.2350325,77.4415645
315093813,23.2379269,77.4410667
315093814,23.2393466,77.4405517
315093815,23.2400880,77.4403181
315093816,23.2417464,77.4400289
315377698,23.2467000,77.4311527
315377699,23.2464083,77.4315656
315377700,23.2461130,77.4319960
315377701,23.2451772,77.4327066
315377702,23.2450529,77.4327828
315377703,23.2449458,77.4328973
315377704,23.2447830,77.4328073
315377705,23.2444967,77.4327602
315377706,23.2441635,77.4326710
315377707,23.2402234,77.4314811
315871802,23.2412197,77.4217718
315872031,23.2416672,77.4211381
315916642,23.2436567,77.4369488
315917043,23.2335727,77.4408440
315917047,23.2337237,77.4400469
315917050,23.2332737,77.4348283
315917052,23.2334067,77.4344808
315917206,23.2331102,77.4343727
315917267,23.2309887,77.4320233
315917268,23.2307017,77.4303289
315917269,23.2307056,77.4279556
317389957,23.2471209,77.4304672
318500699,23.2384133,77.4287119
318500702,23.2389346,77.4311762
318500777,23.2410597,77.4269755
318500789,23.2430236,77.4323385
318500919,23.2436461,77.4254158
319962510,23.2434021,77.4354226
319962513,23.2428837,77.4352986
319962517,23.2366898,77.4366865
319962518,23.2365951,77.4366847
319962519,23.2340852,77.4373020
319962523,23.2335317,77.4352421
319962590,23.2344053,77.4387920
319962592,23.2379241,77.4381064
319962593,23.2395637,77.4377690
319962597,23.2421547,77.4371721
319962688,23.2415738,77.4378842
319962690,23.2409949,77.4383211
319962691,23.2408058,77.4384474
319962692,23.2400188,77.4387834
319962734,23.2380309,77.4385665
319962735,23.2383786,77.4396293
319962736,23.2386714,77.4405245
319962772,23.2347032,77.4387451
319962807,23.2349577,77.4415715
319962822,23.2348424,77.4402789
319962963,23.2370478,77.4399777
319962967,23.2400659,77.4390002
319963008,23.2368543,77.4383153
319963023,23.2362204,77.4384406
319963040,23.2363771,77.4400639
319963048,23.2347687,77.4398031
319963096,23.2363233,77.4396151
320143629,23.2355344,77.4369108
320143674,23.2358433,77.4385138
320143686,23.2347523,77.4396482
320143704,23.2343587,77.4396750
320143705,23.2339161,77.4395942
320143709,23.2336129,77.4411335
320143767,23.2341194,77.4410820
320143769,23.2341112,77.4416481
320143852,23.2349192,77.4411776
320143998,23.2373020,77.4409248
320144139,23.2373346,77.4411642
320144397,23.2359430,77.4396674
320144398,23.2362566,77.4389041
320144584,23.2368973,77.4387704
320144586,23.2392557,77.4383175
320144635,23.2384454,77.4384436
320144765,23.2388037,77.4394928
320144799,23.2372919,77.4387069
320144818,23.2374560,77.4398987
320144850,23.2408615,77.4356522
320144858,23.2413935,77.4380358
320144959,23.2405649,77.4385737
320145109,23.2424662,77.4367200
320145136,23.2411703,77.4355823
320145202,23.2394527,77.4360210
320145204,23.2402090,77.4387088
320145205,23.2388993,77.4361669
320145296,23.2391554,77.4378701
320145297,23.2394798,77.4392422
